state_abbr,role,role_rationale,top1_commodity,top1_share,top3_commodities,tier,is_ngl_current,family_count,scenario_count_total,best_rank,avg_rank
SD,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",Cereal grains,0.3651,"Cereal grains, Other ag products, Nonmetal mineral products",Conditional watchlist,True,3,5,5,9.6
NV,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Gravel,0.1728,"Gravel, Nonmetal mineral products, Waste/scrap",Conditional watchlist,True,3,5,8,11.2
UT,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Nonmetal mineral products,0.1147,"Nonmetal mineral products, Gravel, Gasoline",Conditional watchlist,False,3,4,12,13.75
SC,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Gravel,0.1329,"Gravel, Logs, Nonmetal mineral products",Conditional watchlist,False,3,3,6,11.67
ND,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",Cereal grains,0.3303,"Cereal grains, Other ag products, Gravel",Conditional watchlist,False,3,3,12,12.67
NM,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Gravel,0.1084,"Gravel, Nonmetal mineral products, Animal feed",Conditional watchlist,False,2,5,10,13.4
NJ,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,Gravel,0.1135,"Gravel, Nonmetal mineral products, Waste/scrap",Conditional watchlist,False,2,2,1,1.0
NC,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,Gravel,0.1719,"Gravel, Nonmetal mineral products, Logs",Core expansion,False,4,8,1,9.75
VA,East Coast corridor reinforcement,High repeat survival plus eastern corridor and trade-linked distribution relevance,Gravel,0.1867,"Gravel, Nonmetal mineral products, Coal",Core expansion,False,4,6,2,11.33
MN,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",Cereal grains,0.2114,"Cereal grains, Gravel, Other ag products",Robust internal reinforcement,True,4,8,1,5.25
WA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,Gravel,0.1466,"Gravel, Logs, Nonmetal mineral products",Robust internal reinforcement,True,4,8,1,4.12
NE,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",Cereal grains,0.3818,"Cereal grains, Other ag products, Nonmetal mineral products",Robust internal reinforcement,True,4,8,2,3.25
CO,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Gravel,0.1581,"Gravel, Nonmetal mineral products, Cereal grains",Robust internal reinforcement,True,4,8,3,8.75
KS,Grain / plains balancing support,"Strong agricultural/grain mix and repeated survival under grain, capacity, and demand shifts",Cereal grains,0.2223,"Cereal grains, Gravel, Fuel oils",Robust internal reinforcement,True,4,8,4,7.75
OR,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,Gravel,0.1829,"Gravel, Logs, Nonmetal mineral products",Secondary internal reinforcement,True,4,7,5,7.29
WI,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Gravel,0.2796,"Gravel, Cereal grains, Nonmetal mineral products",Secondary internal reinforcement,True,4,7,5,8.71
AL,Construction / material balancing support,Meaningful construction-material mix with repeated survival in domestic demand and capacity stress,Logs,0.1369,"Logs, Gravel, Nonmetal mineral products",Secondary internal reinforcement,True,4,6,4,7.5
LA,Gateway / trade redistribution support,Pacific or Gulf gateway support with repeated survival under trade and capacity stress,Other ag products,0.0935,"Other ag products, Fuel oils, Nonmetal mineral products",Secondary internal reinforcement,True,3,7,1,4.29
